satellite_img_name,BD09 coordinate,WGS84 coordinate,carbon_emissions (ton),population (unit),gdp (million yuan),caption,streetview_img_names
Beijing/16_12669_4705_s.jpg,"(12669,4705)","(39.85961066804686, 116.53767684070569)",942.4042,4556,10000.0,"The image is a detailed aerial view of a city, featuring a large parking lot with numerous cars parked in various rows; The parking lot is situated next to apartment buildings, indicating that it is a residential area; The city is filled with numerous buildings, including skyscrapers, and the streets are lined with trees; The scene captures the urban landscape and the organized parking arrangement for the residents.","15748_116.542547,39.859984_201601_171.43.jpg, 15747_116.542327,39.862991_201601_357.18.jpg, 15907_116.542299,39.866434_201601_184.51.jpg, 15746_116.537731,39.861393_201902_3.24.jpg"
Beijing/16_12659_4731_s.jpg,"(12659,4731)","(40.04368528776988, 116.44569035648394)",1163.4679,1479,10000.0,"The image is an aerial view of a city street with a large intersection; The street is lined with trees and buildings, creating a picturesque urban landscape; There are several cars driving on the street, with some closer to the foreground and others further away; A traffic light can be seen at the intersection, helping to manage the flow of traffic; The scene also features a park with a baseball field, where a group of people is playing baseball; The park is located near the intersection, adding to the lively atmosphere of the city.","45850_116.454166,40.049761_201601_184.44.jpg, 45870_116.454312,40.048707_201601_179.93.jpg, 45851_116.45407,40.043874_201601_179.25.jpg, 45831_116.448145,40.046373_201308_93.69.jpg, 45844_116.454166,40.044087_201601_179.61.jpg, 45845_116.454289,40.049973_201601_185.55.jpg, 45879_116.453933,40.048217_201601_180.1.jpg"
Beijing/16_12692_4720_s.jpg,"(12692,4720)","(39.965868504443485, 116.7492457544157)",679.63995,1510,2460.3083,"The image depicts a large, open field with a mix of dirt and grass, situated in a rural area; The field is surrounded by trees, giving it a natural and serene atmosphere; In the background, there is a small town with a few houses and buildings, indicating that the field is close to a residential area; The field is also near a road, which runs through the middle of the scene; The overall scene suggests a peaceful and tranquil environment, with the open field serving as a recreational space for the nearby town.",
Beijing/16_12637_4729_s.jpg,"(12637,4729)","(40.02954343190868, 116.24332009119611)",1302.2139,1357,10001.548,"The image is a bird's eye view of a large city with a mix of residential and commercial buildings; The city is situated on a hillside, and the buildings are spread out across the area; There are several cars parked on the streets, and a few people can be seen walking around the city; The aerial view provides a comprehensive view of the city's layout and infrastructure, showcasing the various buildings and their proximity to one another.",
Beijing/16_12684_4728_s.jpg,"(12684,4728)","(40.02247139549316, 116.6756565670383)",289.72952,1018,14314.997,"The image is a bird's eye view of a large industrial area with a train track running through it; The area is filled with various buildings, including a factory and a warehouse; There are several cars and trucks scattered throughout the scene, indicating ongoing transportation activities; The train track is located in the middle of the industrial area, with buildings surrounding it on both sides; The aerial view provides a comprehensive view of the entire industrial complex, showcasing the interconnected nature of the different structures and activities within the area.",
Beijing/16_12656_4730_s.jpg,"(12656,4730)","(40.036614729344095, 116.41809441121742)",1687.2549,8702,10000.0,"The image is a satellite view of a city, featuring a large building with many windows and a green roof; The building is situated in a busy urban area with numerous cars and trucks moving along the streets; There are at least 13 cars and 3 trucks visible in the scene, with some cars parked and others in motion; The cityscape is filled with various buildings, including apartment complexes and other structures, creating a bustling urban environment.","45686_116.426039,40.042134_201902_28.05.jpg, 45689_116.418178,40.040115_201902_267.83.jpg, 45685_116.423798,40.03687_201902_5.04.jpg, 45687_116.424773,40.038991_201902_117.73.jpg, 45684_116.42123,40.042381_201902_208.56.jpg, 45683_116.419565,40.037_201902_179.87.jpg"
Beijing/16_12627_4706_s.jpg,"(12627,4706)","(39.866699692745854, 116.15133360697436)",443.70306,2640,34558.91,"The image depicts a large, open field with a mix of dirt and grass, located near a city; The field is situated next to a road, and there are several buildings visible in the background; The area appears to be a construction site, with a large pile of dirt and debris, indicating ongoing construction work; The presence of a traffic light in the scene suggests that the construction site is close to a busy road, and the city's infrastructure is being developed or maintained.","21070_116.160289,39.869926_201308_259.76.jpg, 14411_116.157088,39.870313_201308_263.38.jpg"
Beijing/16_12692_4718_s.jpg,"(12692,4718)","(39.95171039396103, 116.7492457544157)",732.8376,1498,6436.5166,"The image is a bird's eye view of a large city with a mix of residential and industrial areas; The city is filled with numerous buildings, including houses, apartment complexes, and factories; The streets are lined with cars, and there are several trucks visible throughout the city; The city is situated near a river, which adds to its charm and beauty; The aerial view provides a comprehensive view of the city's layout and the various types of buildings and vehicles that make up its bustling environment.",
Beijing/16_12670_4704_s.jpg,"(12670,4704)","(39.85252090509083, 116.54687548912786)",838.8763,2565,10073.535,"The image is a satellite view of a city, featuring a large building surrounded by a parking lot; The building appears to be under construction, with a crane visible in the scene; The parking lot is filled with numerous cars, both parked and moving; There are also several trucks scattered throughout the area, indicating ongoing construction or delivery activities; The cityscape is bustling with activity, showcasing the urban environment and its various transportation modes.","15054_116.550314,39.852955_201902_356.24.jpg, 15724_116.551071,39.857171_201706_88.29.jpg, 15053_116.551931,39.853307_201309_279.84.jpg"
Beijing/16_12619_4723_s.jpg,"(12619,4723)","(39.98710012975052, 116.07774441959697)",361.97772,465,5825.9673,"The image depicts a large, open pit mine with a mountain in the background; The mine is filled with water, and the surrounding area is covered in trees; The scene is captured from an aerial view, providing a clear perspective of the mine's size and the surrounding landscape.","40129_116.080689,39.988991_201307_356.93.jpg, 44218_116.086622,39.989955_201309_177.43.jpg, 44226_116.0834,39.991278_201307_177.21.jpg"
Beijing/16_12615_4728_s.jpg,"(12615,4728)","(40.02247139549316, 116.04094982590827)",98.31461,48,3.080007,"The image features a large, lush green hillside with a forest of trees covering the landscape; The trees are spread across the hill, creating a dense and vibrant forest; The hill is situated in the middle of a valley, surrounded by mountains on all sides, giving the scene a picturesque and serene atmosphere.",
Beijing/16_12682_4690_s.jpg,"(12682,4690)","(39.753186724014164, 116.65725927019395)",141.65288,498,7153.735,"The image is a bird's eye view of a city, featuring a large intersection with multiple traffic lights; The intersection is surrounded by buildings, and there are several cars and trucks moving through the area; The traffic lights are positioned at various locations around the intersection, ensuring the smooth flow of traffic; The cityscape is filled with numerous buildings, showcasing the urban environment; The image provides a comprehensive view of the city's layout and transportation system.","26401_116.664453,39.759178_201309_308.76.jpg, 26399_116.662375,39.760101_201309_129.03.jpg"
Beijing/16_12681_4717_s.jpg,"(12681,4717)","(39.94463023072649, 116.64806062177178)",1023.87756,2100,2405.811,"The image depicts a large city with a river running through it; The city is filled with numerous buildings, including apartment buildings, and a train station; The train station is located near the river, and there are several trains visible in the scene; The city is surrounded by a mix of natural and urban elements, with trees and a forest nearby; The aerial view of the city showcases its vastness and the interconnectedness of various structures and transportation systems.","38506_116.650545,39.949255_202301_83.96.jpg, 38502_116.649957,39.946802_202003_188.13.jpg, 38503_116.652384,39.950988_202003_34.01.jpg, 38505_116.652239,39.951018_202003_32.41.jpg, 38504_116.650185,39.946666_202003_183.8.jpg"
Beijing/16_12636_4708_s.jpg,"(12636,4708)","(39.88087552724989, 116.23412144277394)",1790.2139,7975,36111.55,"The image is a bird's eye view of a large city, featuring a mix of residential and commercial buildings; The city is densely populated, with numerous high-rise buildings scattered throughout the area; There are several cars and trucks on the streets, indicating a bustling urban environment; The city is situated near a river, which adds to its charm and beauty; The aerial view provides a comprehensive overview of the city's layout and architecture, showcasing the city's density and the interconnectedness of its various districts.","21572_116.238887,39.882365_201902_346.99.jpg, 21594_116.238674,39.882618_201902_210.04.jpg"
Beijing/16_12621_4713_s.jpg,"(12621,4713)","(39.91630219186917, 116.09614171644132)",640.7583,3255,9040.816,"The image is a satellite view of a city with a large river running through it; The city is filled with various buildings, including apartment complexes, and a mountain can be seen in the background; The city is situated in a valley, surrounded by mountains on all sides.There are several cars and trucks visible on the streets, indicating that the city is bustling with activity; The presence of a mountain range and a river adds to the scenic beauty of the city, making it an attractive place to live and visit.",
Beijing/16_12643_4730_s.jpg,"(12643,4730)","(40.036614729344095, 116.29851198172915)",1639.8654,7314,10000.0,"The image is an aerial view of a city street with a row of houses lined up along the street; The houses are all painted black, giving the area a uniform appearance; There are several cars parked along the street, with some closer to the houses and others further away; A truck can also be seen parked near the middle of the street; The scene captures the essence of a typical urban neighborhood with a mix of residential and vehicular activity.","45172_116.301739,40.04019_201706_336.04.jpg, 45171_116.304355,40.040227_201902_66.57.jpg, 45166_116.305266,40.04098_201706_331.66.jpg, 45174_116.306029,40.040231_201706_330.46.jpg, 45177_116.302887,40.041491_201902_157.17.jpg, 45161_116.30639,40.042043_201707_334.06.jpg, 45156_116.306848,40.040976_201707_156.37.jpg, 45167_116.305454,40.040899_201706_332.27.jpg, 45173_116.30214,40.039104_201706_156.4.jpg, 45212_116.306092,40.039683_201902_149.16.jpg"
Beijing/16_12641_4692_s.jpg,"(12641,4692)","(39.767386176803136, 116.28011468488481)",1036.7877,2491,3451.807,"The image depicts a large, empty field with a mix of dirt and grass; The field is situated near a city, as evidenced by the presence of a few buildings in the background; There are also a few cars and trucks scattered throughout the scene, indicating that the area is being used for transportation purposes; The field appears to be a large parking lot or an open space for vehicles, possibly for construction or other activities.","11048_116.282056,39.774251_202003_59.94.jpg"
Beijing/16_12645_4702_s.jpg,"(12645,4702)","(39.838339164530524, 116.3169092785735)",1749.9775,3626,36111.55,"The image is a satellite view of a large city with a mix of urban and natural elements; The city is filled with tall buildings, including skyscrapers, and is surrounded by a lush green park; The park is situated in the middle of the city, providing a green oasis for residents and visitors.There are several cars and trucks visible on the streets, indicating that the city is bustling with activity; The image captures the essence of a modern metropolis that balances urban development with green spaces for recreation and relaxation.","13904_116.32585,39.839296_201902_94.43.jpg, 13901_116.319893,39.844977_201902_349.09.jpg, 13903_116.319959,39.839262_201902_92.86.jpg"
Beijing/16_12677_4726_s.jpg,"(12677,4726)","(40.00832510584011, 116.61126602808308)",464.54898,4250,6077.542,"The image is a satellite view of a large, open field with a mix of grass and trees; The field is situated near a road, and there are several cars parked along the side of the road; The cars are of varying sizes and are dispersed throughout the scene, with some closer to the road and others further away; The overall atmosphere of the image suggests a rural or suburban setting with a mix of natural and human elements.","47753_116.6145,40.012287_201602_113.73.jpg, 47788_116.618506,40.011799_201602_359.34.jpg"
Beijing/16_12662_4706_s.jpg,"(12662,4706)","(39.866699692745854, 116.47328630175046)",2025.9525,18409,10000.0,"The image is a bird's eye view of a city, featuring a large body of water in the middle of the scene; The water is surrounded by apartment buildings, creating a picturesque urban landscape; The city is filled with numerous buildings, including some that are taller and denser, while others are shorter and more spread out; The cityscape is a mix of residential and commercial areas, with various architectural styles and sizes; The presence of the water adds a unique element to the cityscape, providing a serene contrast to the bustling urban environment.","16261_116.480727,39.869419_201902_176.62.jpg, 16263_116.480291,39.872839_201504_93.61.jpg"
Beijing/16_12685_4730_s.jpg,"(12685,4730)","(40.036614729344095, 116.68485521546047)",232.28754,1589,6398.5464,"The image depicts a large industrial area with several buildings and a river running through it; The area is surrounded by a mix of trees and industrial structures, creating a unique blend of nature and industry; There are multiple trucks scattered throughout the scene, indicating ongoing transportation activities in the area; Some of the trucks are parked near the buildings, while others are driving along the roads; The presence of the river adds a natural element to the industrial landscape, providing a contrast between the man-made structures and the surrounding environment.","47919_116.690324,40.039661_201310_263.19.jpg"
Beijing/16_12615_4744_s.jpg,"(12615,4744)","(40.13553528408611, 116.04094982590827)",34.770565,25,98.47663,"The image depicts a large city with a mix of residential and commercial buildings; The city is situated on a hillside, with a river running through it; The city is surrounded by a lush green field, which adds to the beauty of the landscape.There are several cars and trucks moving through the city, indicating that it is a bustling urban area; The presence of a highway running through the city further emphasizes its size and importance; The combination of the city's architecture, the river, and the green field creates a picturesque scene that showcases the city's unique blend of urban",
Beijing/16_12671_4729_s.jpg,"(12671,4729)","(40.02954343190868, 116.55607413755003)",800.56665,2960,34917.04,"The image is an aerial view of a city street intersection with a traffic light; The intersection is surrounded by a mix of grass, trees, and buildings, giving it a lively and urban atmosphere; There are several cars and trucks moving through the intersection, indicating that it is a busy area; In addition to the vehicles, there are multiple traffic lights positioned at various points around the intersection, helping to manage the flow of traffic and ensure safety; The scene captures the essence of a bustling city street with a well-organized traffic system.","48196_116.561239,40.036024_201309_290.7.jpg, 48193_116.563902,40.035021_201707_110.74.jpg, 48080_116.55905,40.03011_201601_244.17.jpg, 48181_116.563102,40.033794_201707_235.1.jpg, 48219_116.55997,40.034491_201602_334.79.jpg, 48246_116.559257,40.035715_201602_331.9.jpg, 48247_116.56299,40.032741_201707_70.36.jpg"
Beijing/16_12642_4741_s.jpg,"(12642,4741)","(40.114350220038794, 116.28931333330698)",1000.9982,2651,15230.522,"The image is a bird's eye view of a city, featuring a large highway with multiple lanes, a railway track, and a residential area with houses and apartment buildings; The highway is situated near a river, and the city is surrounded by trees; There are several cars on the highway, with some closer to the foreground and others further away; The residential area is densely populated, with numerous houses and apartment buildings visible throughout the scene; The overall layout of the city suggests a well-connected transportation system, with the highway and railway track providing efficient access to various parts of the city.","51588_116.297499,40.116354_201902_351.85.jpg"
Beijing/16_12614_4738_s.jpg,"(12614,4738)","(40.09315850201147, 116.0317511774861)",23.025476,19,3.148735,"The image features a large, lush green forest with a mountainous terrain; The forest is filled with trees of various sizes, creating a dense and vibrant environment; The mountains are covered in trees, and the landscape is dotted with several small streams and rivers, adding to the natural beauty of the scene; The image captures the essence of a serene and untouched wilderness, offering a glimpse into the tranquility of nature.",
Beijing/16_12669_4721_s.jpg,"(12669,4721)","(39.97294645163134, 116.53767684070569)",1109.8813,7140,10011.446,"The image is a satellite view of a city, featuring a large building with a parking lot in front of it; The parking lot is filled with numerous cars, with some parked closer to the building and others further away; The scene also includes a few trucks scattered throughout the parking lot; The cityscape is characterized by a mix of buildings and vehicles, giving a sense of a bustling urban environment.",
Beijing/16_12622_4710_s.jpg,"(12622,4710)","(39.89504840835804, 116.1053403648635)",469.44427,2341,14333.826,"The image is an aerial view of a large city with a mix of urban and industrial areas; The city is situated near a river, and there are several buildings and roads visible; A large parking lot is located near the river, with a bridge crossing over it; The parking lot is surrounded by various buildings, including apartment complexes and other structures; The city is bustling with activity, as numerous cars are parked and moving throughout the area; The presence of a train in the scene suggests that the city has a well-developed transportation system; The combination of urban and industrial elements in the image highlight","22385_116.111082,39.896657_201901_178.17.jpg, 22391_116.109262,39.900249_201901_85.95.jpg, 22305_116.110232,39.895518_201707_89.23.jpg, 22397_116.109397,39.900311_201901_84.94.jpg, 22324_116.107316,39.895854_201901_267.95.jpg, 22312_116.110219,39.895686_201707_268.65.jpg, 22308_116.109816,39.895588_201707_88.53.jpg"
Beijing/16_12694_4733_s.jpg,"(12694,4733)","(40.05782418747476, 116.76764305126004)",144.28432,150,997.1046,"The image depicts a large, open field with a mix of grass and dirt, situated in a rural area; The field is surrounded by a few buildings, including a house and a barn; The sky is clear and blue, creating a serene atmosphere; In the distance, there is a train passing through the area, adding a sense of movement and connection to the surrounding landscape; The combination of the open field, buildings, and train creates a picturesque scene of rural life.","48598_116.769389,40.060322_201310_10.71.jpg"
Beijing/16_12637_4738_s.jpg,"(12637,4738)","(40.09315850201147, 116.24332009119611)",1055.3444,719,10083.812,"The image shows a large, open field with a soccer field in the middle of it; The field is surrounded by a mix of buildings, including houses, apartment buildings, and a school; The area appears to be a mix of residential and recreational spaces; There are several cars parked in the vicinity, indicating that people are using the field for various activities; The scene also features a few trucks, possibly for maintenance or transportation purposes; The overall atmosphere suggests a lively and active community, with people enjoying the outdoor space and the soccer field.","51330_116.252034,40.098739_201408_313.4.jpg, 51326_116.244619,40.095122_201902_158.75.jpg, 51345_116.250814,40.099119_201707_134.24.jpg, 51329_116.244011,40.097412_201901_66.04.jpg, 50677_116.24479,40.094927_201902_155.38.jpg, 50675_116.25244,40.095799_201901_312.58.jpg, 51327_116.250226,40.096931_201902_164.07.jpg, 51325_116.249943,40.09668_201902_85.02.jpg"
Beijing/16_12641_4710_s.jpg,"(12641,4710)","(39.89504840835804, 116.28011468488481)",3014.1504,11186,36111.55,"The image is a bird's eye view of a large city, featuring a mix of residential and commercial buildings; The city is situated near a river, with several boats visible on the water; The streets are bustling with traffic, including cars and trucks, as well as pedestrians walking along the sidewalks; The city is surrounded by trees, adding a touch of greenery to the urban landscape; The aerial view provides a comprehensive view of the city's layout, showcasing its diverse architecture and the interconnectedness of its various districts.","21911_116.281225,39.895802_201706_269.72.jpg, 21934_116.285329,39.896037_202003_270.24.jpg, 22119_116.28294,39.898978_201902_90.36.jpg, 21906_116.283018,39.895304_201902_268.65.jpg, 22157_116.288854,39.900283_202003_178.72.jpg, 21910_116.282636,39.895975_202003_88.4.jpg, 21908_116.285802,39.895677_201706_89.0.jpg"
Beijing/16_12635_4718_s.jpg,"(12635,4718)","(39.95171039396103, 116.22492279435176)",1432.0299,15025,10000.0,"The image depicts a large, open field with a green golf course situated in the middle of a city; The field is surrounded by apartment buildings, indicating that the golf course is located in a densely populated urban area; The golf course is well-maintained, featuring a variety of grassy areas and trees.There are several cars parked around the field, with some located near the apartment buildings and others scattered throughout the area; The presence of these vehicles suggests that the residents of the apartments are likely frequenting the golf course for leisure activities.","39395_116.231337,39.953206_201902_300.88.jpg, 39391_116.228687,39.953651_201902_89.81.jpg, 39410_116.230253,39.952935_201505_322.0.jpg, 39396_116.225522,39.953666_201902_268.52.jpg, 39499_116.227549,39.953506_201902_87.48.jpg, 39539_116.228987,39.958282_201902_270.96.jpg, 39400_116.229403,39.95382_201706_275.26.jpg"
Beijing/16_12677_4712_s.jpg,"(12677,4712)","(39.90921833582619, 116.61126602808308)",1514.255,3652,10000.0,"The image is a satellite view of a city with a large river running through it; The river is surrounded by a mix of residential and industrial buildings, creating a bustling urban environment; The city is home to several trains, with at least four trains visible in the image; Some trains are located near the river, while others are situated further away from the water; The trains are likely used for transportation within the city and its surrounding areas; The city's layout and infrastructure showcase a well-connected transportation system that supports the daily activities of its residents and businesses.","17184_116.613351,39.911119_202212_85.58.jpg, 17272_116.612229,39.912231_202212_85.1.jpg, 17277_116.612421,39.912552_201706_264.45.jpg, 17181_116.619217,39.911163_202301_37.82.jpg, 17268_116.612207,39.91234_202212_85.32.jpg, 17273_116.618104,39.912669_202301_81.23.jpg, 17331_116.618626,39.912891_202301_264.15.jpg, 17274_116.611736,39.912398_202212_264.6.jpg, 17188_116.619882,39.912544_201707_211.0.jpg, 17269_116.618083,39.912771_202301_84.18.jpg"
Beijing/16_12618_4716_s.jpg,"(12618,4716)","(39.937549328869856, 116.0685457711748)",794.0843,5878,17457.568,"The image is a satellite view of a city with a large body of water in the middle; The water appears to be a lake or a river, surrounded by a mix of residential and industrial buildings; The city is densely populated, with numerous buildings and streets visible throughout the area.There are several cars and trucks scattered throughout the city, indicating that it is a bustling urban environment; The presence of a train in the scene suggests that the city has a well-developed transportation infrastructure; The overall scene captures the essence of a thriving metropolis with a mix of residential, industrial","39042_116.074783,39.938709_201901_237.55.jpg, 39323_116.075569,39.944474_201901_332.28.jpg, 39170_116.077291,39.943802_201901_262.99.jpg, 39163_116.071614,39.94161_201307_311.17.jpg, 39161_116.076724,39.94065_201901_52.03.jpg, 39041_116.075136,39.938781_201901_58.05.jpg, 39164_116.075978,39.942471_201901_199.73.jpg"
Beijing/16_12684_4730_s.jpg,"(12684,4730)","(40.036614729344095, 116.6756565670383)",298.97598,1615,14802.983,"The image depicts a large city with a mix of industrial and residential areas; In the center of the scene, there is a large building surrounded by a fence, possibly a warehouse or a factory; The area is filled with various vehicles, including cars and trucks, moving along the streets and highways.There are multiple traffic lights positioned throughout the city, ensuring the smooth flow of traffic; The city is also home to a train station, with a train visible on the tracks; The combination of vehicles, buildings, and infrastructure creates a bustling urban environment.","48408_116.680971,40.042707_201310_242.74.jpg, 48403_116.676804,40.038322_201309_261.09.jpg, 47918_116.684453,40.039276_201310_275.93.jpg"
Beijing/16_12640_4738_s.jpg,"(12640,4738)","(40.09315850201147, 116.27091603646264)",1193.7505,2282,9380.946,"The image is a satellite view of a city, featuring a large, open field with a train track running through it; The field is situated next to apartment buildings, and there are several cars parked in the area; The scene also includes a few people scattered throughout the field and near the train tracks; The overall atmosphere suggests a mix of urban and natural elements, with the train track running through the middle of the city.","51351_116.275403,40.095768_201901_160.76.jpg, 50684_116.273981,40.095133_201901_282.07.jpg, 51409_116.277662,40.098089_201903_162.65.jpg"
Beijing/16_12684_4733_s.jpg,"(12684,4733)","(40.05782418747476, 116.6756565670383)",348.0295,276,412.39902,"The image depicts a large, open field with a mix of dirt and grass; The field is situated next to a building, possibly a factory or a warehouse; There are several trucks scattered throughout the field, some closer to the building and others further away; The trucks are likely being used for transportation or logistics purposes related to the building or the field itself.","48982_116.679513,40.062243_201310_274.16.jpg, 48965_116.681857,40.061895_201310_98.6.jpg, 48964_116.675976,40.062112_201310_86.55.jpg"
Beijing/16_12633_4723_s.jpg,"(12633,4723)","(39.98710012975052, 116.20652549750741)",948.3325,2114,10000.056,"The image is an aerial view of a large city with a mix of residential and commercial buildings; The city is situated on a hillside, and the buildings are spread out across the area; There are several cars parked in the streets, and a few people can be seen walking around the city; The city appears to be a mix of urban and suburban areas, with a mix of residential and commercial buildings.","40576_116.215607,39.989801_201601_11.85.jpg, 43484_116.21538,39.992409_201902_10.01.jpg, 43492_116.209463,39.992164_201902_90.45.jpg, 43493_116.208371,39.992378_201902_273.41.jpg"
